#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA    ,154807    ,F4807  ,  0, 15,18.72, 0.24,  0.47,  0.01, 0.26, 0.03, 1.40, 0.00, 1.69, 0.10, 0.92, 14, 15
NEA    ,155110    ,F5110  ,  0, 11,17.66, 0.24,  0.68,  0.03, 0.33, 0.04, 1.40, 0.00, 1.87, 0.10, 0.34,  6,  6
NEA    ,155110    ,F5110  ,  0, 11,17.66, 0.24,  0.75,  0.32, 0.27, 0.23, 1.40, 0.54, 1.60, 0.10, 0.37,  0,  5
NEA    ,159459    ,F9459  ,  0,  6,15.98, 0.24,  1.83,  0.09, 0.21, 0.03, 1.40, 0.00, 1.11, 0.10, 0.38,  5,  6
NEA    ,159504    ,F9504  ,  0,  9,16.99, 0.05,  2.31,  0.02, 0.05, 0.01, 1.40, 0.00, 1.73, 0.10, 0.24,  9,  9
NEA    ,159686    ,F9686  ,  0,  9,16.65, 0.24,  1.80,  0.03, 0.12, 0.02, 1.40, 0.00, 3.56, 0.10, 0.28,  8,  9
NEA    ,159929    ,F9929  ,  0,  8,17.75, 0.24,  2.62,  1.20, 0.02, 0.08, 1.40, 0.45, 1.60, 0.10, 0.34,  0,  8
NEA    ,161989    ,G1989  ,  0, 69,17.43, 0.24,  0.64,  0.02, 0.46, 0.09, 1.40, 0.00, 1.81, 0.10, 1.16, 64, 69
NEA    ,162080    ,G2080  , 19, 20,19.89, 0.24,  0.68,  0.32, 0.04, 0.05, 1.40, 0.55, 1.60, 0.10, 0.94,  0, 20
NEA    ,162463    ,G2463  ,  0, 27,17.99, 0.24,  0.93,  0.35, 0.13, 0.21, 1.40, 0.49, 1.60, 0.10, 0.85,  0, 21
NEA    ,162463    ,G2463  ,  0, 27,17.99, 0.24,  0.98,  0.35, 0.12, 0.14, 1.40, 0.43, 1.60, 0.10, 0.40,  0,  6
NEA    ,162567    ,G2567  ,  7,  5,20.18, 0.24,  0.29,  0.12, 0.18, 0.16, 1.40, 0.56, 1.60, 0.10, 0.19,  0,  5
NEA    ,163760    ,G3760  ,  0,  9,16.53, 0.24,  2.35,  0.77, 0.08, 0.08, 1.40, 0.39, 1.60, 0.10, 0.40,  0,  9
NEA    ,163899    ,G3899  ,  0, 25,17.36, 0.24,  0.80,  0.02, 0.31, 0.04, 1.40, 0.00, 1.35, 0.10, 1.97, 24, 24
NEA    ,164206    ,G4206  ,  0,  8,17.86, 0.24,  1.13,  0.55, 0.10, 0.09, 1.40, 0.55, 1.60, 0.10, 0.94,  0,  8
NEA    ,172034    ,H2034  , 17, 24,17.67, 0.24,  0.66,  0.17, 0.34, 0.25, 1.40, 0.44, 1.60, 0.10, 1.17,  0, 24
NEA    ,173689    ,H3689  ,  0,  5,18.28, 0.24,  0.73,  0.29, 0.16, 0.19, 1.40, 0.55, 1.60, 0.10, 0.17,  0,  5
NEA    ,190161    ,J0161  ,  0, 30,16.67, 0.24,  3.05,  0.02, 0.04, 0.01, 1.40, 0.00, 1.79, 0.10, 0.36, 28, 30
NEA    ,200754    ,K0754  ,  0,  5,18.67, 0.24,  0.56,  0.21, 0.19, 0.15, 1.40, 0.52, 1.60, 0.10, 0.29,  0,  5
NEA    ,206378    ,K6378  ,  0, 20,18.68, 0.06,  0.37,  0.02, 0.44, 0.19, 1.40, 0.00, 1.85, 0.10, 0.75, 20, 20
NEA    ,212359    ,L2359  ,  0,  9,16.98, 0.24,  1.25,  0.40, 0.18, 0.18, 1.40, 0.42, 1.60, 0.10, 0.33,  0,  9
NEA    ,237805    ,N7805  ,  0, 45,17.63, 0.24,  0.69,  0.26, 0.33, 0.22, 1.40, 0.57, 1.60, 0.10, 1.47,  0, 45
NEA    ,241662    ,O1662  ,  0, 18,17.64, 0.24,  0.91,  0.02, 0.19, 0.03, 1.40, 0.00, 1.56, 0.10, 0.38, 10, 10
NEA    ,241662    ,O1662  ,  0, 18,17.64, 0.24,  0.81,  0.26, 0.24, 0.22, 1.40, 0.47, 1.60, 0.10, 0.44,  0,  8
NEA    ,248590    ,O8590  ,  0, 13,16.82, 0.24,  3.35,  1.04, 0.03, 0.03, 0.80, 0.40, 1.50, 0.10, 0.27,  0, 13
NEA    ,256412    ,P6412  ,  0, 15,17.17, 0.24,  2.90,  0.02, 0.03, 0.01, 1.00, 0.20, 4.06, 0.10, 0.57, 15, 15
NEA    ,275611    ,R5611  ,  0, 25,18.24, 0.24,  1.48,  0.01, 0.04, 0.01, 1.40, 0.00, 2.67, 0.10, 0.70, 24, 25
NEA    ,276049    ,R6049  ,  7, 23,16.50, 0.12,  2.24,  0.02, 0.09, 0.02, 1.00, 0.20, 0.23, 0.10, 0.24, 11, 11
NEA    ,276049    ,R6049  ,  7, 23,16.50, 0.12,  4.71,  2.84, 0.02, 0.04, 1.00, 0.60, 1.60, 0.10, 0.37,  0, 12
NEA    ,276786    ,R6786  ,  0, 12,18.11, 0.24,  1.72,  0.68, 0.03, 0.07, 1.40, 0.45, 1.60, 0.10, 0.85,  0, 12
NEA    ,285331    ,S5331  ,  0, 16,18.47, 0.24,  0.66,  0.01, 0.17, 0.02, 1.40, 0.00, 2.04, 0.10, 0.32,  6,  6
NEA    ,285331    ,S5331  ,  0, 16,18.47, 0.24,  0.65,  0.01, 0.17, 0.02, 1.40, 0.00, 1.96, 0.10, 0.65, 10, 10
NEA    ,294739    ,T4739  ,  0,  7,17.39, 0.24,  0.74,  0.21, 0.36, 0.19, 1.40, 0.46, 1.60, 0.10, 0.35,  0,  7
NEA    ,297274    ,T7274  ,  0,  5,16.90, 0.24,  1.21,  0.03, 0.21, 0.03, 1.40, 0.00, 1.01, 0.10, 0.64,  5,  5
NEA    ,303450    ,U3450  ,  0,  7,20.86, 0.24,  0.18,  0.06, 0.24, 0.12, 1.40, 0.43, 1.60, 0.10, 0.62,  0,  7
NEA    ,307493    ,U7493  ,  0, 10,18.95, 0.24,  1.43,  0.09, 0.02, 0.00, 1.22, 0.06, 1.60, 0.10, 0.34, 10, 10
NEA    ,311554    ,V1554  ,  0,  8,18.80, 0.24,  0.38,  0.02, 0.36, 0.05, 1.40, 0.00, 2.07, 0.10, 0.72,  7,  8
NEA    ,326388    ,W6388  ,  9, 12,18.26, 0.24,  1.15,  0.01, 0.07, 0.01, 1.40, 0.00, 0.70, 0.10, 0.39, 11, 12
NEA    ,337248    ,X7248  ,  0, 13,20.00, 0.15,  0.85,  0.06, 0.02, 0.01, 1.40, 0.09, 4.79, 0.10, 1.01,  6,  6
NEA    ,337248    ,X7248  ,  0, 13,20.00, 0.15,  0.61,  0.26, 0.05, 0.06, 1.40, 0.49, 1.60, 0.10, 0.34,  0,  7
NEA    ,345646    ,Y5646  ,  0,  7,19.90, 0.15,  0.41,  0.01, 0.12, 0.02, 1.40, 0.00, 8.52, 0.10, 0.42,  6,  7
NEA    ,355770    ,Z5770  ,  0, 57,18.40, 0.15,  1.20,  0.49, 0.05, 0.08, 1.40, 0.48, 1.60, 0.10, 1.68,  0, 57
NEA    ,363027    ,a3027  ,  0, 12,19.50, 0.15,  0.58,  0.27, 0.08, 0.11, 1.40, 0.54, 1.60, 0.10, 0.30,  0,  4
NEA    ,363027    ,a3027  ,  0, 12,19.50, 0.15,  0.69,  0.25, 0.06, 0.07, 1.40, 0.46, 1.60, 0.10, 0.19,  0,  6
NEA    ,363505    ,a3505  , 13, 28,18.10, 0.15,  1.88,  0.01, 0.03, 0.00, 1.40, 0.00, 2.63, 0.10, 0.70, 26, 28
NEA    ,373135    ,b3135  ,  0,  4,19.50, 0.15,  1.05,  0.36, 0.03, 0.01, 1.40, 0.38, 1.60, 0.10, 0.88,  0,  4
NEA    ,381906    ,c1906  ,  0,  5,17.90, 0.15,  0.52,  0.10, 0.45, 0.27, 1.40, 0.39, 1.60, 0.10, 0.43,  0,  5
NEA    ,385186    ,c5186  ,  0, 33,17.70, 0.15,  0.81,  0.02, 0.22, 0.03, 1.40, 0.00, 2.04, 0.10, 0.57,  9,  9
NEA    ,385186    ,c5186  ,  0, 33,17.70, 0.15,  0.97,  0.29, 0.16, 0.15, 1.40, 0.41, 1.60, 0.10, 0.43,  0, 20
NEA    ,401857    ,e1857  ,  0, 18,16.10, 0.15,  4.28,  0.04, 0.03, 0.01, 1.40, 0.00, 2.28, 0.10, 0.43,  6,  6
NEA    ,401857    ,e1857  ,  0, 18,16.10, 0.15,  3.90,  1.87, 0.04, 0.07, 1.40, 0.47, 1.60, 0.10, 0.78,  0, 11
NEA    ,401925    ,e1925  ,  0,  5,18.40, 0.15,  0.48,  0.10, 0.34, 0.19, 1.40, 0.37, 1.60, 0.10, 0.43,  0,  5
NEA    ,413123    ,f3123  ,  0, 42,19.00, 0.15,  1.22,  0.50, 0.03, 0.05, 1.40, 0.45, 1.60, 0.10, 0.89,  0, 29
NEA    ,413123    ,f3123  ,  0, 42,19.00, 0.15,  1.26,  0.52, 0.03, 0.08, 1.40, 0.46, 1.60, 0.10, 0.44,  0, 12
NEA    ,413192    ,f3192  , 19,145,16.80, 0.15,  2.78,  0.02, 0.04, 0.01, 1.40, 0.00, 1.31, 0.10, 0.33, 23, 25
NEA    ,413192    ,f3192  , 19,145,16.80, 0.15,  2.16,  0.02, 0.07, 0.01, 1.40, 0.00, 1.49, 0.10, 0.84,114,118
NEA    ,414287    ,f4287  ,  0,  9,17.70, 0.15,  1.97,  0.74, 0.04, 0.04, 1.40, 0.41, 1.60, 0.10, 0.57,  0,  9
NEA    ,414772    ,f4772  ,  0,  5,19.00, 0.15,  1.00,  0.68, 0.04, 0.06, 1.00, 0.73, 1.60, 0.10, 0.95,  0,  5
NEA    ,415711    ,f5711  ,  0,  9,19.00, 0.15,  0.35,  0.10, 0.37, 0.26, 1.40, 0.46, 1.60, 0.10, 0.66,  0,  9
NEA    ,415986    ,f5986  ,  0, 37,18.10, 0.15,  1.07,  0.54, 0.09, 0.11, 1.40, 0.57, 1.60, 0.10, 0.50,  0, 10
NEA    ,415986    ,f5986  ,  0, 37,18.10, 0.15,  1.08,  0.29, 0.09, 0.08, 1.40, 0.33, 1.60, 0.10, 0.87,  0, 27
NEA    ,416071    ,f6071  ,  0,  8,17.90, 0.15,  0.80,  0.01, 0.19, 0.03, 1.40, 0.00, 2.24, 0.10, 0.33,  8,  8
NEA    ,417264    ,f7264  ,  0, 53,17.20, 0.15,  1.93,  0.02, 0.06, 0.01, 1.40, 0.00, 2.16, 0.10, 0.68, 15, 15
NEA    ,417264    ,f7264  ,  0, 53,17.20, 0.15,  1.93,  0.01, 0.06, 0.01, 1.40, 0.00, 2.59, 0.10, 0.88, 27, 27
NEA    ,417264    ,f7264  ,  0, 53,17.20, 0.15,  2.72,  1.26, 0.03, 0.04, 1.40, 0.43, 1.60, 0.10, 0.84,  0, 11
NEA    ,418797    ,f8797  ,  8,  7,19.50, 0.15,  0.79,  0.23, 0.05, 0.06, 1.40, 0.36, 1.60, 0.10, 0.39,  0,  7
NEA    ,422699    ,g2699  ,  0, 11,18.30, 0.15,  0.62,  0.24, 0.22, 0.18, 1.40, 0.52, 1.60, 0.10, 0.97,  0, 11
NEA    ,424089    ,g4089  ,  0, 11,17.70, 0.15,  2.31,  0.72, 0.03, 0.03, 1.40, 0.32, 1.60, 0.10, 0.49,  0, 11
NEA    ,424392    ,g4392  ,  0,  9,21.90, 0.15,  0.24,  0.10, 0.05, 0.06, 1.40, 0.49, 1.60, 0.10, 0.46,  0,  9
NEA    ,428223    ,g8223  ,  0, 10,16.10, 0.15,  2.53,  0.82, 0.10, 0.13, 1.40, 0.37, 1.60, 0.10, 0.67,  0, 10
NEA    ,429746    ,g9746  ,  0,  8,17.30, 0.15,  1.27,  0.50, 0.13, 0.10, 1.40, 0.42, 1.60, 0.10, 0.55,  0,  8
NEA    ,431107    ,h1107  ,  0,  8,17.70, 0.15,  1.27,  0.44, 0.09, 0.15, 1.40, 0.43, 1.60, 0.10, 0.66,  0,  8
NEA    ,433953    ,h3953  ,  0,  7,20.90, 0.15,  0.26,  0.09, 0.11, 0.13, 1.40, 0.44, 1.60, 0.10, 0.80,  0,  7
