#Ast,Name,MPC,1st,HMag,G
NEA ,      90367,90367       ,  0,17.8 ,0.15
NEA ,      90373,90373       ,  0,18.6 ,0.15
NEA ,      90416,90416       ,  0,18.7 ,0.15
NEA ,      96315,96315       ,  0,17.0 ,0.15
NEA ,      96536,96536       ,  0,15.4 ,0.15
NEA ,      96590,96590       ,  0,16.2 ,0.15
NEA ,      96631,96631       ,  0,18.1 ,0.15
NEA ,      97725,97725       ,  0,18.7 ,0.15
NEA ,      99248,99248       ,  0,16.4 ,0.15
NEA ,      99799,99799       ,  0,18.3 ,0.15
NEA ,      99907,99907       ,  0,17.9 ,0.15
NEA ,      99935,99935       ,  0,16.0 ,0.15
NEA ,      99942,99942       ,  0,19.2 ,0.15
NEA ,     100085,A0085       ,  0,17.8 ,0.15
NEA ,     100756,A0756       ,  0,16.3 ,0.15
NEA ,     100926,A0926       ,  0,16.7 ,0.15
NEA ,     101869,A1869       ,  0,19.3 ,0.15
NEA ,     102873,A2873       ,  0,17.6 ,0.15
NEA ,     105140,A5140       ,  0,15.8 ,0.15
NEA ,     105141,A5141       ,  0,18.9 ,0.15
NEA ,     106538,A6538       ,  0,16.3 ,0.15
NEA ,     108519,A8519       ,  0,17.9 ,0.15
NEA ,     108906,A8906       ,  0,17.8 ,0.15
NEA ,     111253,B1253       ,  0,15.2 ,0.15
NEA ,     112985,B2985       ,  0,15.8 ,0.15
NEA ,     115052,B5052       ,  0,17.4 ,0.15
NEA ,     136564,D6564       ,  0,19.1 ,0.15
NEA ,     136582,D6582       ,  0,20.0 ,0.15
NEA ,     136617,D6617       ,  0,17.7 ,0.15
NEA ,     136618,D6618       ,  0,16.8 ,0.15
NEA ,     136635,D6635       ,  0,19.0 ,0.15
NEA ,     136793,D6793       ,  0,18.4 ,0.15
NEA ,     136818,D6818       ,  0,18.9 ,0.15
NEA ,     136849,D6849       ,  0,17.7 ,0.15
NEA ,     136874,D6874       ,  0,15.7 ,0.15
NEA ,     136897,D6897       ,  0,18.5 ,0.15
NEA ,     136923,D6923       ,  0,16.3 ,0.15
NEA ,     137032,D7032       ,  0,16.6 ,0.15
NEA ,     137044,D7044       ,  0,16.7 ,0.15
NEA ,     137052,D7052       ,  0,17.0 ,0.15
NEA ,     137062,D7062       ,  0,16.6 ,0.15
NEA ,     137064,D7064       ,  0,18.9 ,0.15
NEA ,     137078,D7078       ,  0,16.3 ,0.15
NEA ,     137084,D7084       ,  0,16.4 ,0.15
NEA ,     137099,D7099       ,  0,18.2 ,0.15
NEA ,     137108,D7108       ,  0,17.9 ,0.15
NEA ,     137120,D7120       ,  0,18.1 ,0.15
NEA ,     137125,D7125       ,  0,18.6 ,0.15
NEA ,     137158,D7158       ,  0,17.9 ,0.15
NEA ,     137170,D7170       ,  0,14.6 ,0.15
NEA ,     137175,D7175       ,  0,18.3 ,0.15
NEA ,     137199,D7199       ,  0,16.9 ,0.15
NEA ,     137427,D7427       ,  0,15.2 ,0.15
NEA ,     137671,D7671       ,  0,18.6 ,0.15
NEA ,     137799,D7799       ,  0,18.5 ,0.15
NEA ,     137924,D7924       ,  0,17.2 ,0.15
NEA ,     137925,D7925       ,  0,16.0 ,0.15
NEA ,     138013,D8013       ,  0,14.7 ,0.15
NEA ,     138095,D8095       ,  0,15.9 ,0.15
NEA ,     138155,D8155       ,  0,17.2 ,0.15
NEA ,     138258,D8258       ,  0,19.1 ,0.15
NEA ,     138404,D8404       ,  0,19.1 ,0.15
NEA ,     138524,D8524       ,  0,16.8 ,0.15
NEA ,     138727,D8727       ,  0,19.0 ,0.15
NEA ,     138846,D8846       ,  0,16.0 ,0.15
NEA ,     138883,D8883       ,  0,16.7 ,0.15
NEA ,     138893,D8893       ,  0,18.1 ,0.15
NEA ,     138911,D8911       ,  0,19.2 ,0.15
NEA ,     138925,D8925       ,  0,15.9 ,0.15
NEA ,     138937,D8937       ,  0,17.5 ,0.15
NEA ,     138947,D8947       ,  0,18.7 ,0.15
NEA ,     138971,D8971       ,  0,18.4 ,0.15
NEA ,     139047,D9047       ,  0,17.2 ,0.15
NEA ,     139211,D9211       ,  0,18.0 ,0.15
NEA ,     139289,D9289       ,  0,17.6 ,0.15
NEA ,     139359,D9359       ,  0,16.6 ,0.15
NEA ,     139622,D9622       ,  0,18.4 ,0.15
NEA ,     140158,E0158       ,  0,18.3 ,0.15
NEA ,     140288,E0288       ,  0,16.7 ,0.15
NEA ,     140928,E0928       ,  0,18.2 ,0.15
NEA ,     141018,E1018       ,  0,18.9 ,0.15
NEA ,     141052,E1052       ,  0,17.4 ,0.15
NEA ,     141052,E1052       ,  0,17.4 ,0.15
NEA ,     141078,E1078       ,  0,18.9 ,0.15
NEA ,     141079,E1079       ,  0,17.7 ,0.15
NEA ,     141354,E1354       ,  0,17.4 ,0.15
NEA ,     141484,E1484       ,  0,16.4 ,0.15
NEA ,     141495,E1495       ,  0,18.3 ,0.15
NEA ,     141498,E1498       ,  0,18.3 ,0.15
NEA ,     141525,E1525       ,  0,17.9 ,0.15
NEA ,     141526,E1526       ,  0,19.9 ,0.15
NEA ,     141614,E1614       ,  0,19.4 ,0.15
NEA ,     141761,E1761       ,  0,17.2 ,0.15
NEA ,     141765,E1765       ,  0,16.2 ,0.15
NEA ,     141851,E1851       ,  0,17.7 ,0.15
NEA ,     141874,E1874       ,  0,17.8 ,0.15
NEA ,     142040,E2040       ,  0,16.3 ,0.15
NEA ,     142464,E2464       ,  0,18.1 ,0.15
NEA ,     142561,E2561       ,  0,18.1 ,0.15
NEA ,     142781,E2781       ,  0,16.1 ,0.15
NEA ,     143381,E3381       ,  0,16.1 ,0.15
NEA ,     143409,E3409       ,  0,17.9 ,0.15
NEA ,     143624,E3624       ,  0,15.9 ,0.15
NEA ,     143637,E3637       ,  0,16.3 ,0.15
NEA ,     143649,E3649       ,  0,17.4 ,0.15
NEA ,     143651,E3651       ,  0,16.0 ,0.15
