#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA ,2015    GY,K15G00Y,  0,  4,21.70, 0.15,  0.14,  0.05, 0.18, 0.19, 1.40, 0.50, 1.60, 0.10, 0.24,  0,  4
NEA ,2015  GK50,K15G50K,  0, 25,20.60, 0.15,  0.61,  0.30, 0.03, 0.03, 1.00, 0.62, 1.60, 0.10, 0.48,  0,  9
NEA ,2015  GK50,K15G50K,  0, 25,20.60, 0.15,  0.46,  0.03, 0.05, 0.01, 0.99, 0.06, 1.60, 0.10, 0.27, 16, 16
NEA ,2015  GN50,K15G50N,  0,  5,20.20, 0.15,  0.29,  0.11, 0.18, 0.12, 1.40, 0.46, 1.60, 0.10, 0.36,  0,  5
NEA ,2015  HF11,K15H11F,  0, 10,19.40, 0.15,  1.11,  0.44, 0.02, 0.01, 1.40, 0.42, 1.60, 0.10, 0.82,  0, 10
NEA ,2015  JF11,K15J11F,  0,  6,21.20, 0.15,  0.17,  0.05, 0.20, 0.11, 1.40, 0.40, 1.60, 0.10, 0.34,  0,  6
NEA ,2015 KH157,K15KF7H,  0,  9,20.00, 0.15,  0.58,  0.23, 0.05, 0.11, 1.40, 0.49, 1.60, 0.10, 0.22,  0,  9
NEA ,2015 KL157,K15KF7L,  0, 60,19.10, 0.15,  1.45,  0.31, 0.02, 0.01, 1.00, 0.38, 1.50, 0.10, 0.76,  0, 48
NEA ,2015 KL157,K15KF7L,  0, 60,19.10, 0.15,  0.36,  0.01, 0.30, 0.05, 0.40, 0.00, 1.50, 0.10, 1.05,  9, 12
NEA ,2015  LK24,K15L24K,  0,  8,21.60, 0.15,  0.31,  0.11, 0.04, 0.07, 1.40, 0.44, 1.60, 0.10, 0.39,  0,  8
NEA ,2015 MQ130,K15MD0Q,  0, 11,20.90, 0.15,  0.36,  0.07, 0.06, 0.03, 0.54, 0.10, 1.60, 0.10, 0.36,  5,  7
NEA ,2015 MQ130,K15MD0Q,  0, 11,20.90, 0.15,  0.55,  0.26, 0.03, 0.03, 1.00, 0.61, 1.60, 0.10, 0.83,  0,  4
NEA ,2015  NA14,K15N14A,  0,  5,22.00, 0.15,  0.09,  0.02, 0.34, 0.18, 1.40, 0.32, 1.60, 0.10, 0.45,  0,  5
NEA ,2015  OA22,K15O22A,  0,  4,20.00, 0.15,  0.79,  0.34, 0.03, 0.03, 1.00, 0.56, 1.60, 0.10, 0.11,  0,  4
NEA ,2015  OS35,K15O35S,  0, 33,19.10, 0.15,  1.26,  0.01, 0.03, 0.00, 1.40, 0.00, 5.95, 0.10, 0.17, 20, 22
NEA ,2015  OS35,K15O35S,  0, 33,19.10, 0.15,  1.42,  0.01, 0.02, 0.00, 1.40, 0.00, 6.34, 0.10, 0.15, 10, 10
NEA ,2015    PD,K15P00D,  0,  8,19.30, 0.15,  0.62,  0.22, 0.09, 0.10, 1.40, 0.44, 1.60, 0.10, 0.57,  0,  8
NEA ,2015  PM57,K15P57M,  0,  7,18.60, 0.15,  0.59,  0.21, 0.19, 0.22, 1.40, 0.49, 1.60, 0.10, 0.22,  0,  7
NEA ,2015   QM3,K15Q03M,  0,  9,20.30, 0.15,  0.27,  0.05, 0.19, 0.15, 1.40, 0.27, 1.60, 0.10, 0.61,  0,  9
NEA ,2015  RS83,K15R83S,  0,  5,19.40, 0.15,  0.47,  0.13, 0.14, 0.13, 1.40, 0.37, 1.60, 0.10, 0.52,  0,  5
NEA ,2015 RR150,K15RF0R,  0, 13,19.70, 0.15,  0.34,  0.12, 0.20, 0.19, 1.40, 0.46, 1.60, 0.10, 0.60,  0, 13
NEA ,2015  SF20,K15S20F,  0,  8,19.70, 0.15,  0.40,  0.16, 0.15, 0.14, 1.40, 0.53, 1.60, 0.10, 0.52,  0,  8
NEA ,2015  SS20,K15S20S,  0,  7,22.40, 0.15,  0.26,  0.10, 0.03, 0.03, 1.40, 0.46, 1.60, 0.10, 0.44,  0,  7
NEA ,2015 TK237,K15TN7K,  0,  7,22.60, 0.15,  0.23,  0.07, 0.03, 0.04, 1.40, 0.40, 1.60, 0.10, 0.53,  0,  7
NEA ,2015 TW346,K15TY6W,  0, 15,18.60, 0.15,  1.26,  0.46, 0.04, 0.04, 1.40, 0.41, 1.60, 0.10, 0.44,  0, 15
NEA ,2015  UK52,K15U52K,  0,  5,20.10, 0.15,  0.21,  0.06, 0.35, 0.22, 1.40, 0.45, 1.60, 0.10, 0.34,  0,  5
NEA ,2015 VZ145,K15VE5Z,  0,  5,23.70, 0.15,  0.16,  0.06, 0.02, 0.05, 1.40, 0.52, 1.60, 0.10, 1.36,  0,  5
NEA ,2015  WM16,K15W16M,  0,  8,21.80, 0.15,  0.39,  0.06, 0.02, 0.01, 1.10, 0.16, 1.60, 0.10, 0.17,  8,  8
NEA ,2015 XB130,K15XD0B,  0,  9,21.80, 0.15,  0.33,  0.13, 0.03, 0.04, 1.40, 0.48, 1.60, 0.10, 0.58,  0,  9
NEA ,2015 XY378,K15Xb8Y,  0,  5,19.60, 0.15,  0.31,  0.11, 0.26, 0.23, 1.40, 0.46, 1.60, 0.10, 0.32,  0,  5
