#Ast,Name,MPC,1st,HMag,G
NEA,340048,Y0048,0,19.0,0.15
NEA,340291,Y0291,0,19.8,0.15
NEA,343098,Y3098,0,18.7,0.15
NEA,344076,Y4076,0,18.8,0.15
NEA,347634,Y7634,0,19.5,0.15
NEA,348304,Y8304,0,18.0,0.15
NEA,348306,Y8306,0,21.4,0.15
NEA,349219,Y9219,0,18.2,0.15
NEA,349507,Y9507,0,18.6,0.15
NEA,349928,Y9928,0,18.6,0.15
NEA,350751,Z0751,0,20.8,0.15
NEA,350964,Z0964,0,18.6,0.15
NEA,351340,Z1340,0,18.1,0.15
NEA,351508,Z1508,0,19.6,0.15
NEA,351545,Z1545,0,19.7,0.15
NEA,351815,Z1815,0,18.4,0.15
NEA,353190,Z3190,0,19.7,0.15
NEA,353938,Z3938,0,18.1,0.15
NEA,354127,Z4127,0,19.2,0.15
NEA,354332,Z4332,0,18.2,0.15
NEA,354876,Z4876,0,18.5,0.15
NEA,354952,Z4952,0,19.3,0.15
NEA,355770,Z5770,0,18.4,0.15
NEA,357028,Z7028,0,19.4,0.15
NEA,357058,Z7058,0,20.1,0.15
NEA,357414,Z7414,0,18.3,0.15
NEA,357618,Z7618,0,19.0,0.15
NEA,358453,Z8453,0,19.8,0.15
NEA,358471,Z8471,0,19.1,0.15
NEA,359369,Z9369,0,18.5,0.15
NEA,359592,Z9592,0,19.8,0.15
NEA,361123,a1123,0,20.3,0.15
NEA,361611,a1611,0,18.2,0.15
NEA,361689,a1689,0,19.3,0.15
NEA,363071,a3071,0,20.3,0.15
NEA,363344,a3344,0,20.0,0.15
NEA,363734,a3734,0,18.8,0.15
NEA,364136,a4136,0,20.2,0.15
NEA,366470,a6470,0,19.4,0.15
NEA,367390,a7390,0,19.1,0.15
NEA,367638,a7638,0,18.4,0.15
NEA,369296,a9296,0,18.1,0.15
NEA,369984,a9984,0,18.8,0.15
NEA,369986,a9986,0,20.6,0.15
NEA,370037,b0037,0,19.0,0.15
NEA,371973,b1973,0,19.6,0.15
NEA,373135,b3135,0,19.5,0.15
NEA,373428,b3428,0,18.4,0.15
NEA,374855,b4855,0,20.0,0.15
NEA,375054,b5054,0,20.7,0.15
NEA,375103,b5103,0,18.4,0.15
NEA,375505,b5505,0,20.0,0.15
NEA,376788,b6788,0,19.4,0.15
NEA,376848,b6848,0,19.4,0.15
NEA,378160,b8160,0,19.5,0.15
NEA,378358,b8358,0,19.3,0.15
NEA,380128,c0128,0,20.1,0.15
NEA,380524,c0524,0,20.1,0.15
NEA,380929,c0929,0,19.6,0.15
NEA,380981,c0981,0,18.7,0.15
NEA,382503,c2503,0,19.2,0.15
NEA,382825,c2825,0,19.4,0.15
NEA,385252,c5252,0,19.3,0.15
NEA,385423,c5423,0,19.2,0.15
NEA,385605,c5605,0,19.0,0.15
NEA,387668,c7668,0,20.4,0.15
NEA,387717,c7717,0,19.3,0.15
NEA,387733,c7733,0,18.9,0.15
NEA,387816,c7816,0,19.5,0.15
NEA,387871,c7871,0,19.1,0.15
NEA,388188,c8188,0,18.9,0.15
NEA,388798,c8798,0,18.3,0.15
NEA,390522,d0522,0,20.6,0.15
NEA,390929,d0929,0,20.5,0.15
NEA,391451,d1451,0,19.5,0.15
NEA,391508,d1508,0,19.1,0.15
NEA,392476,d2476,0,19.1,0.15
NEA,393569,d3569,0,20.3,0.15
NEA,395289,d5289,0,18.3,0.15
NEA,396593,d6593,0,19.0,0.15
NEA,396730,d6730,0,18.5,0.15
NEA,396793,d6793,0,20.1,0.15
NEA,397326,d7326,0,19.0,0.15
NEA,397471,d7471,0,18.2,0.15
NEA,397847,d7847,0,18.8,0.15
NEA,399307,d9307,0,18.9,0.15
NEA,399308,d9308,0,20.7,0.15
NEA,399611,d9611,0,19.3,0.15
NEA,401998,e1998,0,18.4,0.15
NEA,403039,e3039,0,19.8,0.15
NEA,403247,e3247,0,19.3,0.15
NEA,403775,e3775,0,21.0,0.15
NEA,405189,e5189,0,20.6,0.15
NEA,405212,e5212,0,18.1,0.15
NEA,405427,e5427,0,18.0,0.15
NEA,407338,e7338,0,18.2,0.15
NEA,407656,e7656,0,18.2,0.15
NEA,408751,e8751,0,19.0,0.15
NEA,408869,e8869,0,19.1,0.15
NEA,408980,e8980,0,18.6,0.15
NEA,408982,e8982,0,20.8,0.15
NEA,409256,e9256,0,18.2,0.15
NEA,410195,f0195,0,18.4,0.15
NEA,411655,f1655,0,18.6,0.15
NEA,412976,f2976,0,19.9,0.15
NEA,413021,f3021,0,19.4,0.15
NEA,415715,f5715,0,18.2,0.15
NEA,415949,f5949,0,19.3,0.15
NEA,416002,f6002,0,20.5,0.15
NEA,416186,f6186,0,19.3,0.15
NEA,416217,f6217,0,20.5,0.15
NEA,416680,f6680,0,18.4,0.15
NEA,416804,f6804,0,18.6,0.15
NEA,417167,f7167,0,19.0,0.15
NEA,417201,f7201,0,19.7,0.15
NEA,417211,f7211,0,18.4,0.15
NEA,417871,f7871,0,18.2,0.15
NEA,418233,f8233,0,18.3,0.15
NEA,418896,f8896,0,19.4,0.15
NEA,419022,f9022,0,18.5,0.15
NEA,420048,g0048,0,18.8,0.15
NEA,420187,g0187,0,18.1,0.15
NEA,420210,g0210,0,20.4,0.15
NEA,423210,g3210,0,19.0,0.15
NEA,423747,g3747,0,18.9,0.15
NEA,424965,g4965,0,18.8,0.15
NEA,426071,g6071,0,20.0,0.15
NEA,426082,g6082,0,20.1,0.15
NEA,427499,g7499,0,19.2,0.15
NEA,428681,g8681,0,18.0,0.15
NEA,429094,g9094,0,20.1,0.15
NEA,430544,h0544,0,18.6,0.15
NEA,431760,h1760,0,18.1,0.15
NEA,432226,h2226,0,18.5,0.15
NEA,432509,h2509,0,19.5,0.15
NEA,433939,h3939,0,21.2,0.15
NEA,433953,h3953,0,20.8,0.15
NEA,434053,h4053,0,20.5,0.15
NEA,434196,h4196,0,21.3,0.15
NEA,434633,h4633,0,20.9,0.15
NEA,434786,h4786,0,18.1,0.15
NEA,435441,h5441,0,20.0,0.15
NEA,436774,h6774,0,18.4,0.15
NEA,437844,h7844,0,21.4,0.15
NEA,437905,h7905,0,19.8,0.15
NEA,438017,h8017,0,18.7,0.15
NEA,438661,h8661,0,19.4,0.15
NEA,439854,h9854,0,18.8,0.15
NEA,439877,h9877,0,19.5,0.15
NEA,441825,i1825,0,18.5,0.15
NEA,442559,i2559,0,18.2,0.15
NEA,443880,i3880,0,19.4,0.15
NEA,444004,i4004,0,20.5,0.15
